title,author,isbn,isbn13,year_published,publisher,pages,average_rating,ratings_count,description,categories,genres,source,google_id,goodreads_id,user_rating,user_read_date,user_shelves,popularity_score
Love Finds a Home,Wanda E. Brunstetter,160742536X,9781607425366,2011,Barbour Publishing,262,0.0,0,Bestselling author Wanda E. Brunstetter brings you three historical stories of finding room for love. Glenna Moore is desperate after she watches her gambling father jump hurriedly from the back of a moving train. Will a young reverend bring stability and love back into her life? Judith King’s life as a new schoolteacher takes an unexpected turn when a widowed father begins to captivate her thoughts. Will she muster enough courage to seek his love? Bev Winters’s job is an answer to prayer until her boss complicates her widowed life. Will her pride allow love after loss?,['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,1L6FsPJEj9AC,,0,,[],0.0
The Historical Romance Collection,Sylvia Day,0718178483,9780718178482,2013,Random House,1208,0.0,0,"Indulge in FOUR historical romance novels from multimillion copy bestselling author, Sylvia Day, in one exclusive bundle . . . Seven Years to Sin - Seven years ago, young Lady Jessica Sheffield witnessed a scandalous seduction by the roguish Alistair Caulfield that remains constant in her dreams. So when she steps aboard Caulfield's ship, newly widowed, years of denied pleasure and passion are unleashed in the most provocative way . . . The Stranger I Married - Lady Isabel Pelham and Gerard Faulkner, Marquess of Grayson, are well matched in all things - lusty appetites, constant paramours, provocative reputations, and their absolute refusal to ruin a marriage of convenience by falling in love. Until a shocking event sends Gerard from her side. Four years later, when Gerard returns, he is no longer the man she married - but is he the one to finally steal her heart? Pride and Pleasure - Pursued by fortune hunters, heiress Eliza Martin is the victim of diabolical scheming to get her to the altar. But she won't be bullied, and she will get to the bottom of this plot. She needs a man to infiltrate her suitors and find the villain. The devilish Jasper Bond might just be the man for the job . . . Bad Boys Ahoy - Three classic erotic tales of wicked rakes and the flawless aristocratic young women whose hearts - and bodies - they melt. Including Stolen Pleasures, Lucien's Gamble and Her Mad Grace. Praise for Sylvia Day: 'Move over Danielle Steel and Jackie Collins, this is the dawn of a new Day' Amuse 'Several shades darker and a hundred degrees hotter than anything you've read before' Reveal",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,-iRhEAAAQBAJ,,0,,[],0.0
A Duke's Guide to Seducing His Bride,Lauren Royal,1938907035,9781938907036,2014,Novelty Publishing,445,0.0,0,"♥ A highwayman who is also a duke…in a kilt! ♥ A close-knit, meddling family ♥ A forced marriage ♥ A treasure hunt ♥ Steamy romance! Another captivating romance featuring New York Times bestselling author Lauren Royal’s “outrageously funny, loyal, compassionate, and unconventional” Chase family! Lady Kendra Chase’s brothers insist it’s high time she wed. But although they’ve presented her with many wealthy, titled suitors, no man has caught her fancy—until her coach is held up by a dashing, mysterious rogue. When she and the scoundrel are caught in a compromising embrace and her overprotective brothers demand they marry, Kendra cannot believe it. Are they really desperate enough to match her with a highwayman? Scottish-born Patrick “Trick” Caldwell is the Duke of Amberley—and also the notorious Black Highwayman, an identity he has assumed in order to avenge past wrongs and serve his king. But his already complicated life becomes positively convoluted when he finds himself compelled to marry a red-headed temptress he’s only just met. Caught in a web of secrets and half-truths, will Trick be forced to choose between his duty to the Crown and the woman who’s destined to steal his heart? PLEASE NOTE: This book was formerly titled “Amber.” BOOK DETAILS A complete, standalone story—no cliffhangers! Series: Chase Family Series, Book 4 Style: Humorous historical romance Length: 118,000 words (about 475 standard pages) Bonus Material: Author’s Note, preview of next book, link to giveaway R-rated Content: Steamy love scenes!* * If you’d prefer to read a Sweet & Clean (kisses only) version of this story, look for “The Duke’s Reluctant Bride” by Lauren Royal & Devon Royal. AWARDS • Top 10 Bestseller on Google Play, Amazon, Apple Books, Barnes & Noble, and Kobo • A Booklist Top Ten Romance of the Year • Winner of the Romantic Times K.I.S.S. Award for Best Romantic Hero REVIEWS “A captivating historical romance. Fans of Julia Quinn’s Bridgerton series will love Lauren Royal!” —Glynnis Campbell, USA Today Bestselling Author ""Lauren Royal sweeps readers up into the 17th century, bringing all the excitement and glamour of the Restoration to life with her colorful characters, vivid backdrop, and passionate romance."" —Romantic Times ""An impressive talent!"" —Publishers Weekly (Forecasted review) ""A passionate tale that brings late seventeenth-century England vividly alive...fast-paced and filled with action from the very first page to the climax."" —Midwest Book Review CONNECTING BOOKS While A Duke’s Guide to Seducing His Bride can be read as a stand-alone novel, many readers enjoy reading it as part of a series. All of Lauren's books feature Chase family members. Should you wish to read them in chronological order, this is the sequence: Chase Family Series When an Earl Meets a Girl How to Undress a Marquess If You Dared to Love a Laird A Duke’s Guide to Seducing His Bride Never Doubt a Viscount The Scandal of Lord Randal A Gentleman’s Plot to Tie the Knot A Secret Christmas A Chase Family Christmas Chase Family Series: The Regency Tempt Me at Midnight Tempting Juliana The Art of Temptation New in 2022 Alice Betrothed Specially Priced Boxed Sets Chase Family Series: Collection One Chase Family Series: Collection Two Chase Family Series: The Regency Collection ABOUT THE AUTHOR LAUREN ROYAL is a New York Times and USA Today bestselling author of humorous historical romance. Her “truly enchanting” novels have won many awards including Booklist's “Top 10 Romance of the Year,” and they’ve earned raves from reviewers including Publishers Weekly, who calls her “an impressive talent.” All of Lauren’s books are complete, stand-alone stories, and yet they are also all connected—because they all feature her beloved “outrageously funny, loyal, compassionate, and unconventional” Chase family! Lauren writes steamy historical romance on her own and sweet/clean historical romance with her daughter, Devon Royal. She lives in Southern California with her family, two constantly shedding cats, and a stupendous collection of fuzzy socks. When she's not busy writing, she enjoys singing along (off-key) to Hamilton, dancing (badly), and (wasting time) watching HGTV. CONNECT WITH LAUREN • Want great free and 99¢ books sent to your inbox on select Fridays? Sign up for Lauren's newsletter at: http://royall.ink/Newsletter • Become an honorary Chase cousin (and get a FREE historical cookbook)! Join Lauren's Chase Family Readers Group on Facebook at: facebook.com/groups/ChaseFamilyReaders • To learn about the real people and places in Lauren's books, enter a contest to win jewelry, and see the ever-growing branches of the Chase Family Tree, visit her website at: LaurenRoyal.com",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,33MjAwAAQBAJ,,0,,[],0.0
Chasing Cassandra,Lisa Kleypas,0349407711,9780349407715,2020,Hachette UK,221,0.0,0,"A New York Times bestseller! New York Times bestselling author Lisa Kleypas returns with the next dazzling romance in the Ravenels series - perfect for fans of Sarah MacLean, Julia Quinn and Eloisa James. 'Lisa Kleypas is the best' Sarah MacLean Everything has a price . . . Railway magnate Tom Severin is wealthy and powerful enough to satisfy any desire as soon as it arises. It should be simple to find the perfect wife - and from his first glimpse of Lady Cassandra Ravenel, he's determined to have her. But the beautiful and quick-witted Cassandra is equally determined to marry for love - the one thing he can't give. Everything except her . . . Severin is the most compelling and attractive man Cassandra has ever met, even if his heart is frozen. But she has no interest in living in the fast-paced world of a ruthless man who always plays to win. When a newfound enemy nearly destroys Cassandra's reputation, Severin seizes the opportunity he's been waiting for. As always, he gets what he wants - or does he? There's one lesson Tom Severin has yet to learn from his new bride: Never underestimate a Ravenel. The chase for Cassandra's hand may be over. But the chase for her heart has only just begun . . . 'Kleypas can make you laugh and cry - on the same page' Julia Quinn The Ravenels: Cold-Hearted Rake Marrying Winterborne Devil in Spring Hello Stranger Devil's Daughter Chasing Cassandra Praise for Lisa Kleypas: 'Opposites attract in spectacular fashion in the sixth Victorian-era Romance in bestseller Kleypas's Ravenel series' Publishers Weekly (starred review) 'Intricately and elegantly crafted, intensely romantic . . . from a not-to-be-missed romance author' Kirkus Reviews 'Witty, often hilarious, and delightfully passionate, this compelling, thrill-laced Victorian romance is another superb series entry' Library Journal, starred review 'Readers are introduced to the unforgettable characters and their original personalities through a delightful storyline peppered with sharp repartee and steamy sensuality' RT Book Reviews (top pick) 'Is it possible to give a book 6 stars? . . . [This] story has all of the forbidden romance, witty banter, and sigh-inducing declarations of love that you deserve' That's Normal",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,BHadDwAAQBAJ,,0,,[],0.0
Her Wanton Wager,Grace Callaway,1939537002,9781939537003,2014,Grace Callaway Books,383,0.0,0,"A #1 Bestselling Regency Romance from USA Today Bestselling Author Grace Callaway A game of seduction. An epic battle of wits. In this steamy enemies to lovers romance, the winner takes all... ""Fun, sexy and very enjoyable!"" --Five-star review from Love Romance Passion “Naughty and romantic, this is not your cookie cutter romance.” -Kathy, Goodreads A Wager She Can't Afford to Lose When her brother falls into the clutches of gamester Gavin Hunt, feisty heiress Persephone Fines will do whatever it takes to save him. Hunt offers her an outrageous proposition: he will release her brother… if she can resist six nights of seduction. Can she withstand the scoundrel's wicked charm—and the shocking desire he rouses with each touch? A Bet He's Determined to Win A product of London’s violent stews, Gavin Hunt has clawed his way to success and power. Now he will stop at nothing to achieve his life-long goal: revenge upon the man who betrayed him. He plans to seduce his enemy’s sister… but doesn't count on losing his heart. Will he give up his need for vengeance—or risk forsaking the only woman he’s ever loved? From Six Nights... to Forever As the battle of the sexes rages on and seduction flares into uncontrollable passion, Gavin and Percy must also fight a hidden enemy. Only by trusting one another can they defeat the threats of past and present. In this high-stakes game of love versus sin, what will be the outcome of… Her Wanton Wager? Grace's books feature hot historical romance, fun and feel-good happily ever afters, and exciting mystery and adventure. Her books are standalones which can also be enjoyed as part of her interconnected series set in the same universe. Mayhem in Mayfair series (hot Regency romance): Her Husband's Harlot (Helena & Nicholas) Her Wanton Wager (Percy & Gavin) Her Protector's Pleasure (Marianne & Ambrose) Her Prodigal Passion (Charity & Paul) Heart of Enquiry (Kent family saga) series (hot historical romance): Prequel Novella: The Widow Vanishes (Will & Annabel) The Duke Who Knew Too Much (Alaric & Emma) M is for Marquess (Gabriel & Thea) The Lady Who Came in from the Cold (Marcus & Penny) The Viscount Always Knocks Twice (Richard & Violet) Never Say Never to an Earl (Sinjin & Polly) The Gentleman Who Loved Me (Andrew & Primrose) Game of Dukes series (hot Victorian romance): The Duke Identity (Harry & Tessa) Enter the Duke (Ransom & Maggie) Regarding the Duke (Garrity & Gabby) The Duke Redemption (Wick & Beatrice) The Return of the Duke (Knight & Fancy) Lady Charlotte's Society of Angels series (hot Victorian romance): Olivia and the Masked Duke (Olivia & Ben, Preorder today!) Pippa and the Prince of Secrets (Pippa & Cullen) Fiona and the Enigmatic Earl (Fiona & Thomas) Glory and the Master of Shadows (Glory and Wei) Charlotte and the Seductive Spymaster (Charlie & her hero)",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,yz7dAwAAQBAJ,,0,,[],0.0
Marrying Winterborne,Lisa Kleypas,0349407622,9780349407623,2016,Hachette UK,260,0.0,0,"WINNER OF THE ROMANTIC TIMES BOOK OF THE YEAR AWARD New York Times bestselling author Lisa Kleypas returns with the second dazzling romance in the Ravenels series - perfect for fans of Sarah MacLean, Julia Quinn and Eloisa James. In her stunning novel, one of the realm's most powerful men meets his match - in his lovely, innocent new wife. 'Lisa Kleypas is the best' Sarah MacLean A ruthless tycoon . . . Savage ambition has brought common-born Rhys Winterborne vast wealth and success. In business and beyond, Rhys gets exactly what he wants. And from the moment he meets the shy, aristocratic Lady Helen Ravenel, he is determined to possess her. If he must take her virtue to ensure she marries him, so much the better . . . A sheltered beauty . . . Helen has had little contact with the glittering, cynical world of London society. Yet Rhys's determined seduction awakens an intense mutual passion. Helen's gentle upbringing belies a stubborn conviction that only she can tame her unruly husband. As Rhys's enemies conspire against them, Helen must trust him with her darkest secret. The risks are unthinkable . . . the reward, a lifetime of incomparable bliss. And it all begins with . . . Marrying Winterborne. 'Kleypas can make you laugh and cry - on the same page' Julia Quinn The Ravenels: Cold-Hearted Rake Marrying Winterborne Devil in Spring Hello Stranger Devil's Daughter Chasing Cassandra Praise for Lisa Kleypas: 'Intricately and elegantly crafted, intensely romantic . . . from a not-to-be-missed romance author' Kirkus Reviews 'Witty, often hilarious, and delightfully passionate, this compelling, thrill-laced Victorian romance is another superb series entry' Library Journal, starred review 'Readers are introduced to the unforgettable characters and their original personalities through a delightful storyline peppered with sharp repartee and steamy sensuality' RT Book Reviews (top pick) 'Is it possible to give a book 6 stars? . . . [This] story has all of the forbidden romance, witty banter, and sigh-inducing declarations of love that you deserve' That's Normal",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,fFisCwAAQBAJ,,0,,[],0.0
Once Upon a Tartan,Grace Burrowes,140226870X,9781402268700,2013,"Sourcebooks, Inc.",418,0.0,0,"""Burrowes delivers red-hot chemistry with a masterful mix of playfulness and sensuality."" —Publishers Weekly Honor or happiness—he can't have both. Tiberius Flynn may be every inch an English lord, but smart, headstrong beauty Hester Daniels has no use for his high-handed ways--no matter how handsome, charming, or beguiling he is. They only see eye to eye in caring about the feisty little girl who is under their protection. Tiberius's haughty insistence that his wealthy estate in England is a better place for the child than her beloved, rundown Scotland home sparks Hester's fierce protectiveness, and the battle lines are drawn. Praise for The Bridegroom Wore Plaid, a Publishers Weekly Best Book of the Year: The MacGregor Series The Bridegroom Wore Plaid (Book 1) Mary Fran and Matthew (Novella) Once Upon a Tartan (Book 2) The MacGregor's Lady (Book 3) What a Lady Needs for Christmas (Book 4) ""As always, Burrowes creates a character driven novel...The slowly simmering sensuality and the strong bonds of family hold readers' interest and hearts.""—RT Book Reviews, 4 stars ""Will engage readers with emotion and sensuality...Burrowes has a talent for filling traditional romance situations with depth and the unexpected."" —Booklist",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,vfVbAQAAQBAJ,,0,,[],0.0
Shadowheart,Laura Kinsale,1497630940,9781497630949,2014,Open Road Media,1026,0.0,0,"Swept up in political intrigue, an assassin and a princess embrace a passionate love in this fourteenth-century romance by a New York Times–bestselling author. As the last unmarried princess of Monteverde, Elayne is trapped in a marital bond when her hand is promised to the land’s ruler. On the voyage to meet her future husband, she is captured by Allegreto Navona—the living embodiment of the dark angel she’s seen in dreams. Endowed with godlike beauty, his eyes burn bright with sin. A woman of modesty would flee such a man. But try as she might, a wanton hunger binds her to his side . . . Trained as an assassin, Allegreto is the bastard son of an ambitious lord who raised him to murder for control of Monteverde. Now that his father is dead, if Allegreto can make Elayne his wife, it will cleanse his tainted blood, and the country will be his, but she is no mere maiden to be possessed. Unexpectedly, he falls in love with her, finding in her quick mind and azure eyes the conqueror of his heart. But will his dark past scare her off? With a legendary ability to create lovers you’ll never forget, the author of Flowers from the Storm offers a lively historical romance.",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,qq4oAwAAQBAJ,,0,,[],0.0
This Magic Moment,Patricia Rice,1402251963,9781402251962,2013,,0,0.0,0,"""Rice has a magical touch for creating fascinating plots, delicious romance, and delightful characters..."" �- Booklist Celebrate the 80th birthday of Regency Romance with great books from Sourcebooks Casablanca! When Harry unexpectedly inherits the title Duke of Sommersville, childhood friend Lady Christina consents to marry him so that she and her money can help save the estate, but what will save their friendship, and their marriage? Everything about Lord Harry's easygoing life is about to change. After unexpectedly inherting the title of Duke of Sommersville, he's also discovered it comes with a load of debt. To save the estate, he's going to need money. Lots of it-and quick. Lady Christina has no problem with Harry marrying her for her dowry. After all, they've been friends since childhood. But gone is the laughing, charming boy she once knew. And she won't share anything of herself until she gets that Harry back. No matter how tempting he proves to be... An enchanting historical paranormal romance, fans of Stephanie Laurens, Christina Dodd and Mary Jo Putney will delight in Rice's richly complex and addictively compelling clash of science and magic in this Georgian romance. Other books in the Magical Malcoms series: Merely Magic, Book 1�- RT Reviewers all-time favorite romance, finalist for the Georgia Romance Writers Maggie Award, RT Book Reviews nominee for Best Innovative Historical Romance Must Be Magic, Book 2�-RT Book Reviews nominee for Best Historical Paranormal Fantasy The Trouble With Magic, Book 3�- The Road to Romance Reviewer Award This Magic Moment, Book 4 �- A heartwarming, magical romance of mystery and family Much Ado About Magic, Book 5 �- ""A passionate, sensual, and romantic adventure.""-RT Book Reviews, 4 1⁄2 stars Magic Man, Book 6�- RT Reviewers Choice nominee Beloved New York Timesand USA Todaybestselling author Patricia Rice is a RITA finalistand an RT Book Reviews Winnerof a Career Achievement Awardfor Best British-Set Historical Romance, a Career Achievement Award for Historical Storyteller of the Year, and a Lifetime Achievement Awardfor Historical Fantasy. What readers are saying about This Magic Moment: ""The phrase ""happily ever after"" befits this historical fairy tale..."" ""heart-warming. I really enjoyed this magical story."" ""a sigh-worthy hero, a free-spirited heroine, mix in some ghosts and a mystery"" ""This book has it all! Love, historical flair, ghosts, mysteries, and humor."" ""If you are a fan of Christina Doddand Kasey Michaelshistorical stories, this book is right up your alley."" What reviewers are saying about This Magic Moment: ""Rice has a magical touch for creating fascinating plots, delicious romance, and delightful characters..."" �- Booklist ""Charmingand immensely entertaining.""-Library Journal ""Rice bewitches, beguiles, and tickles your fancy.""-RT Book ReviewsTop Pick, 4 1⁄2 stars ""A wonderfully written, delightful tale... I really enjoyed this magical story. "" - That's What I'm Talking About What everyone is saying about Patricia Rice: ""humor, emotional intensity, and sensuality with a touch of the supernatural, Must Be Magicis a highly recommended read and a 'keeper.'""- RT Book Reviews, 4 1⁄2 Stars ""Rice's enchanting book is truly spellbinding.""-Booklist ""Patricia Rice's historicals are deliciously fresh, sexy fun. Never has the battle of the sexes been more charming!""-Mary Jo Putney, NewYork Timesbestselling author",['Nobility'],"['Romance', 'Fiction', 'Nobility']",romance,eSLOMAEACAAJ,,0,,[],0.0
Her Prodigal Passion,Grace Callaway,1939537037,9781939537034,2014,Grace Callaway Books,380,0.0,0,"From USA Today Bestselling Author Grace Callaway She's a wallflower who avoids attention. He's a rake who has made very public mistakes. When he accidentally compromises her, their marriage is anything but convenient... ""It features an UNDERGROUND FIGHTER (in a historical setting). What else, can I say, except… I LOVED IT!!!” -Sheryl, Goodreads “I thoroughly enjoyed this story. Grace Callaway is a remarkable writer.” -Love Romance Passion A Diamond in the Rough Merchant's daughter Charity Sparkler is a sensible miss who harbors one secret folly: she's in love with her best friend's brother. She knows that the worldly rake will never return a wallflower's affections, yet when destiny throws them together, she discovers that passion can be the greatest of equalizers … and love can be more than a dream. A Hero in the Making Gentleman turned prizefighter Paul Fines battles his demons through boxing, drink, and women. When an act of disgrace nearly destroys him, he begins the road to redemption—only to accidentally compromise his sister's spinster friend. Honor bound to a marriage of convenience, he is stunned to discover that lust can heat a bridal boudoir ... and love can mend a jaded heart. A Marriage About to Become Inconvenient As an ugly duckling and a reformed rake fight for love, secrets unfold that could threaten their future. Can she forgive a past betrayal and recognize her own beauty? Can he find redemption in the boxing ring? Will steamy nights of Her Prodigal Passion turn into happily forever after? Grace's books feature hot historical romance, fun and feel-good happily ever afters, and exciting mystery and adventure. Her books are standalones which can also be enjoyed as part of her interconnected series set in the same universe. Mayhem in Mayfair series (hot Regency romance): Her Husband's Harlot (Helena & Nicholas) Her Wanton Wager (Percy & Gavin) Her Protector's Pleasure (Marianne & Ambrose) Her Prodigal Passion (Charity & Paul) Heart of Enquiry (Kent family saga) series (hot historical romance): Prequel Novella: The Widow Vanishes (Will & Annabel) The Duke Who Knew Too Much (Alaric & Emma) M is for Marquess (Gabriel & Thea) The Lady Who Came in from the Cold (Marcus & Penny) The Viscount Always Knocks Twice (Richard & Violet) Never Say Never to an Earl (Sinjin & Polly) The Gentleman Who Loved Me (Andrew & Primrose) Game of Dukes series (hot Victorian romance): The Duke Identity (Harry & Tessa) Enter the Duke (Ransom & Maggie) Regarding the Duke (Garrity & Gabby) The Duke Redemption (Wick & Beatrice) The Return of the Duke (Knight & Fancy) Lady Charlotte's Society of Angels (hot Victorian romance) Olivia and the Masked Duke Pippa and the Prince of Secrets (Pippa & Cullen) Fiona and the Enigmatic Earl (Fiona & Thomas) Glory and the Master of Shadows (Glory and Wei) Charlotte and the Seductive Spymaster (Preorder available)",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,OSneAwAAQBAJ,,0,,[],0.0
Seize the Fire,Laura Kinsale,1497620392,9781497620391,2014,Open Road Media,519,0.0,0,"A scoundrel is transformed by the love of an innocent princess in this historical romance by the New York Times–bestselling author of Flowers from the Storm. Summoned to rule the tiny nation of Oriens, Princess Olympia St. Leger appoints the most celebrated man in England to escort her: recently retired war hero Capt. Sheridan Drake. Easily frightened, she is vastly relieved to have Captain Drake’s help—until she discovers he’s a scoundrel without a drop of honor in his body. In fact, nothing would make her happier than to forget him. Except she cannot seem to get his deep, stirring gaze out of her head . . . Sheridan has no patience for hero worshipers; war is a game of survival, not gallant deeds. But Olympia, who comes to him with plump cheeks and eyes full of expectation, has money, something of which he is in great need. And though Olympia is impossibly naive, for reasons he can’t fathom, she touches him in some obscure, half-forgotten place, until the thought of losing her becomes even more impossible. Set in Georgian England, Seize the Fire is another exciting tale from the author of For My Lady’s Heart, whose work has been praised by Julia Quinn as “unfailingly brilliant and beautiful.”",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,mKgoAwAAQBAJ,,0,,[],0.0
His Rags-to-Riches Contessa,Marguerite Kaye,1488086982,9781488086984,2018,Harlequin,248,0.0,0,"From the streets of London…to Venetian high society! A Matches Made in Scandal story To catch his father’s murderer, broodingly arrogant Conte Luca del Pietro requires help from a most unlikely source—Becky Wickes, London’s finest cardsharp. Against the decadence of Carnival, Becky’s innocence and warmth captivate Luca, but as their chemistry burns hotter, the stakes of their perilous game are getting higher. For Luca is no longer playing for justice—but also to win Becky’s heart… Matches Made in Scandal series Book 1 - From Governess to Countess Book 2 - From Courtesan to Convenient Wife Book 3 - His Rags-to-Riches Contessa Book 4 — A Scandalous Winter Wedding — coming soon! “From Governess to Countess is an engaging story, it dazzles you with the chemistry between Allison and Aleskei and teases you into wanting more” — Goodreads on From Governess to Countess “Kaye’s eye for detail is as sharp as her ability to translate history into engaging fiction … From Courtesan to Convenient Wife is an emotionally urgent and tender romance” — All About Romance on From Courtesan to Convenient Wife",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,M4tTDwAAQBAJ,,0,,[],0.0
Highland Hero,Hannah Howell,1420130218,9781420130218,2012,Zebra Books,0,0.0,0,"A collection of four historical romance novellas set in the Scottish Highlands includes ""Tatha,"" in which Tatha Preston seeks refuge from an unwanted fiancé in Castle Cnocanduin and in the arms of its lord.",['Heroes'],"['Romance', 'Fiction', 'Heroes']",romance,-VU9nwEACAAJ,,0,,[],0.0
Marry Me by Sundown,Johanna Lindsey,1501162268,9781501162268,2018,Simon and Schuster,464,0.0,0,"The #1 New York Times bestselling author of Beautiful Tempest and Make Me Love You brings her “mastery of historical romance” (Entertainment Weekly) to 1880s Montana where passions and gold fever run high as an American heiress turns to a rugged mountain man to help her locate her father’s fortune. After a social whirlwind in London, Violet Mitchell is summoned back to Philadelphia only to discover her family living on the edge of financial ruin while their father seeks new wealth in Montana’s gold fields. With the family’s home and social standing at risk, Violet makes a drastic decision. Meanwhile, Montana rancher Morgan Callahan rode away from his family’s cattle farm to make his own fortune. Now as he finishes exploiting a mother lode of silver, a young woman claiming to be his late partner’s daughter turns up wanting to be taken to her father’s mine. Suspecting that the pretty schemer works for the mining outfit that is trying to steal his land, he has no qualms about snatching her and holding her at his camp where she can do no harm. But he underestimated the new thorn in his side. Determined to claim what rightfully belongs to her family, Violet summons up the courage and grit to cope with the hazards and discomforts of an untamed land and the disturbingly masculine stranger who holds her fate in his hands. But an error of judgment brings down a hailstorm of danger that upends her plans and deepens her bond to a man who may turn out to be all she desires. With her signature “strong characters, humor, interesting plots—and, of course—romance” (The Cincinnati Enquirer), Johanna Lindsey crafts another irresistible and adventurous love story.",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,IvNCDwAAQBAJ,,0,,[],0.0
A Match For Marcus Cynster,Stephanie Laurens,0992278988,9780992278984,2015,Savdek Management Proprietary Limited,450,0.0,0,"Duty compels her to turn her back on marriage. Fate drives him to protect her come what may. Then love takes a hand in this battle of yearning hearts, stubborn wills, and a match too powerful to deny. #1 New York Times bestselling author Stephanie Laurens returns to rugged Scotland with a dramatic tale of passionate desire and unwavering devotion. Restless and impatient, Marcus Cynster waits for Fate to come calling. He knows his destiny lies in the lands surrounding his family home, but what will his future be? Equally importantly, with whom will he share it? Of one fact he feels certain: his fated bride will not be Niniver Carrick. His elusive neighbor attracts him mightily, yet he feels compelled to protect her—even from himself. Fickle Fate, he’s sure, would never be so kind as to decree that Niniver should be his. The best he can do for them both is to avoid her. Niniver has vowed to return her clan to prosperity. The epitome of fragile femininity, her delicate and ethereal exterior cloaks a stubborn will and an unflinching devotion to the people in her care. She accepts that in order to achieve her goal, she cannot risk marrying and losing control of the clan’s reins to an inevitably controlling husband. Unfortunately, too many local men see her as their opportunity. Soon, she’s forced to seek help to get rid of her unwelcome suitors. Powerful and dangerous, Marcus Cynster is perfect for the task. Suppressing her wariness over tangling with a gentleman who so excites her passions, she appeals to him for assistance with her peculiar problem. Although at first he resists, Marcus discovers that, contrary to his expectations, his fated role is to stand by Niniver’s side and, ultimately, to claim her hand. Yet in order to convince her to be his bride, they must plunge headlong into a journey full of challenges, unforeseen dangers, passion, and yearning, until Niniver grasps the essential truth—that she is indeed a match for Marcus Cynster. A neo-Gothic tale of passionate romance set in the uplands of southwestern Scotland A Cynster Second Generation Novel – a classic historical romance of 114,000 words. Praise for the works of Stephanie Laurens “Stephanie Laurens’ heroines are marvelous tributes to Georgette Heyer: feisty and strong.” Cathy Kelly “Stephanie Laurens never fails to entertain and charm her readers with vibrant plots, snappy dialogue, and unforgettable characters.” Historical Romance Reviews. “Stephanie Laurens plays into readers’ fantasies like a master and claims their hearts time and again.” Romantic Times Magazine",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,_9jXBQAAQBAJ,,0,,[],0.0
Marriage and Murder,Stephanie Laurens,1925559734,9781925559736,2025,Savdek Management Proprietary Limited,321,0.0,0,"#1 NYT-bestselling author Stephanie Laurens returns with a puzzling case in which her favorite sleuths must untangle a slew of secrets to expose a coldblooded murderer. When a middle-aged spinster is found strangled in her country cottage and scurrilous gossip implicates Henry, Lord Glossup, he appeals to Barnaby and Penelope Adair along with Inspector Stokes to unravel the mystery of who killed Viola Huntingdon. Henry, Lord Glossup, arrives on Barnaby and Penelope Adairs’ doorstep and begs their aid—and that of Stokes—in identifying the murderer of Viola Huntingdon, a middle-aged spinster who lived a largely blameless life in a country cottage in a tiny village close to Henry’s home. As Stokes has already been tapped to take the case, the investigators travel to Salisbury and thence to Ashmore village and throw themselves into the case. While initially Henry was touted as a suspect, he is quickly eliminated, and with the help of the victim’s sister, Madeline, the investigators set out to discover all they can about the victim and who might have wished her ill. In such a small village, with a commensurately small population, the list of possible suspects is short, but the existence of Viola’s ‘secret admirer, H’ has everyone stumped. First, how could Viola, living in such a small community, have had a secret visitor, a man no one saw except at a distance? And who on earth is he, this H? As the investigators piece together the clues of missing jewelry and sightings of H and follow the leads generated by opportunistic thieves, dodgy jewelers, and local moneylenders, a picture emerges that points to only one conclusion. But in small villages, things are rarely as they seem. Have the investigators got the right man in their sights, or have they been led astray? A historical novel of 82,000 words weaving mystery and murder with a touch of romance.",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,gbM1EQAAQBAJ,,0,,[],0.0
